t_epoch,t_rel,total_frames,window,dnd,idle,privacy,emergency,alert_active,primary_proc,secondary_proc,secondary_drop
1776502412.112,321.000,18978,active_or_baseline,0,0,0,0,0,0,0,0
1776502413.110,322.003,19030,active_or_baseline,0,0,0,0,0,0,0,0
1776502414.107,323.000,19082,active_or_baseline,0,0,0,0,0,0,0,0
1776502415.111,324.003,19135,active_or_baseline,0,0,0,0,0,0,0,0
1776502416.109,325.000,19187,active_or_baseline,0,0,0,0,0,0,0,0
1776502417.107,326.000,19239,active_or_baseline,0,0,0,0,0,0,0,0
1776502418.112,327.000,19292,active_or_baseline,0,0,0,0,0,0,0,0
1776502419.106,328.000,19344,active_or_baseline,0,0,0,0,0,0,0,0
1776502420.106,329.000,19396,active_or_baseline,0,0,0,0,0,0,0,0
1776502421.118,330.001,19449,active_or_baseline,0,0,0,0,0,0,0,0
1776502422.106,331.000,19501,active_or_baseline,0,0,0,0,1,0,0,0
1776502423.109,332.003,19553,active_or_baseline,0,0,0,0,1,0,0,0
1776502424.107,333.000,19605,active_or_baseline,0,0,0,0,1,0,0,0
1776502425.110,334.001,19658,active_or_baseline,0,0,0,0,0,0,0,0
1776502426.111,335.003,19710,active_or_baseline,0,0,0,0,0,0,0,0
1776502427.108,336.000,19762,active_or_baseline,0,0,0,0,0,0,0,0
1776502428.109,337.000,19815,active_or_baseline,0,0,0,0,0,0,0,0
1776502429.106,338.000,19867,active_or_baseline,0,0,0,0,0,0,0,0
1776502430.109,339.001,19919,active_or_baseline,0,0,0,0,0,0,0,0
1776502431.112,340.000,19972,active_or_baseline,0,0,0,0,0,0,0,0
1776502432.108,341.000,20024,active_or_baseline,0,0,0,0,0,0,0,0
1776502433.112,342.002,20076,active_or_baseline,0,0,0,0,0,0,0,0
1776502434.119,343.000,20129,active_or_baseline,0,0,0,0,0,0,0,0
1776502435.111,344.000,20181,active_or_baseline,0,0,0,0,0,0,0,0
1776502436.114,345.000,20233,active_or_baseline,0,0,0,0,0,0,0,0
1776502437.106,346.000,20285,active_or_baseline,0,0,0,0,0,0,0,0
1776502438.106,347.000,20337,active_or_baseline,0,0,0,0,0,0,0,0
1776502439.111,348.004,20390,active_or_baseline,0,0,0,0,0,0,0,0
1776502440.106,349.000,20442,active_or_baseline,0,0,0,0,0,0,0,0
1776502441.106,350.000,20494,active_or_baseline,0,0,0,0,0,0,0,0
1776502442.105,351.000,20546,active_or_baseline,0,0,0,0,0,0,0,0
1776502443.107,352.000,20599,active_or_baseline,0,0,0,0,0,0,0,0
1776502444.106,353.000,20651,active_or_baseline,0,0,0,0,0,0,0,0
1776502445.111,354.000,20704,active_or_baseline,0,0,0,0,0,0,0,0
1776502446.111,355.000,20756,active_or_baseline,0,0,0,0,0,0,0,0
1776502447.109,356.000,20808,active_or_baseline,0,0,0,0,0,0,0,0
1776502448.105,357.000,20860,active_or_baseline,0,0,0,0,0,0,0,0
1776502449.110,358.000,20913,active_or_baseline,0,0,0,0,0,0,0,0
1776502450.107,359.002,20965,active_or_baseline,0,0,0,0,0,0,0,0
1776502451.110,360.000,21018,active_or_baseline,0,0,0,0,0,0,0,0
1776502452.110,361.000,21070,active_or_baseline,0,0,0,0,0,0,0,0
1776502453.107,362.000,21122,active_or_baseline,0,0,0,0,0,0,0,0
1776502454.115,363.003,21174,active_or_baseline,0,0,0,0,0,0,0,0
1776502455.108,364.000,21227,active_or_baseline,0,0,0,0,0,0,0,0
1776502456.111,365.000,21279,active_or_baseline,0,0,0,0,0,0,0,0
1776502457.110,366.002,21331,active_or_baseline,0,0,0,0,0,0,0,0
1776502458.106,367.000,21383,active_or_baseline,0,0,0,0,0,0,0,0
1776502459.109,368.003,21436,active_or_baseline,0,0,0,0,0,0,0,0
1776502460.108,369.001,21488,active_or_baseline,0,0,0,0,0,0,0,0
