epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
105,2871.27,0.98751,0.76195,1.1596,0.8525,0.75932,0.81251,0.62093,1.19973,1.03375,1.34372,0.00646286,0.00215429,0.00646286,0.00215429,0.00646286,0.00215429,0.00646286,0.00215429
106,2898.77,0.9695,0.74309,1.1514,0.84817,0.75718,0.81085,0.6191,1.20114,1.04715,1.34197,0.00620704,0.00206901,0.00620704,0.00206901,0.00620704,0.00206901,0.00620704,0.00206901
107,2926.72,0.98087,0.75071,1.159,0.84465,0.74285,0.80751,0.62109,1.20611,1.06604,1.34295,0.00595508,0.00198503,0.00595508,0.00198503,0.00595508,0.00198503,0.00595508,0.00198503
108,2954.42,0.97509,0.74163,1.15017,0.8232,0.77619,0.81312,0.62394,1.20459,1.05358,1.34601,0.0057071,0.00190237,0.0057071,0.00190237,0.0057071,0.00190237,0.0057071,0.00190237
109,2981.98,0.97328,0.74749,1.15667,0.86051,0.74673,0.81098,0.61965,1.21111,1.04638,1.35303,0.0054632,0.00182107,0.0054632,0.00182107,0.0054632,0.00182107,0.0054632,0.00182107
110,3009.46,0.98385,0.74816,1.15906,0.81933,0.7928,0.80921,0.61797,1.21596,1.0337,1.35983,0.00522349,0.00174116,0.00522349,0.00174116,0.00522349,0.00174116,0.00522349,0.00174116
111,3037.05,0.95474,0.73043,1.14609,0.83798,0.75822,0.80673,0.61905,1.20736,1.03457,1.35347,0.00498808,0.00166269,0.00498808,0.00166269,0.00498808,0.00166269,0.00498808,0.00166269
112,3064.71,0.96192,0.7276,1.14465,0.80642,0.79899,0.81634,0.61933,1.20957,1.02971,1.35539,0.00475706,0.00158569,0.00475706,0.00158569,0.00475706,0.00158569,0.00475706,0.00158569
113,3092.34,0.95802,0.72012,1.14263,0.85427,0.75422,0.81655,0.62602,1.20856,1.03168,1.35252,0.00453054,0.00151018,0.00453054,0.00151018,0.00453054,0.00151018,0.00453054,0.00151018
114,3120.11,0.9535,0.72404,1.13822,0.80914,0.79488,0.81508,0.62038,1.2087,1.04345,1.35055,0.00430863,0.00143621,0.00430863,0.00143621,0.00430863,0.00143621,0.00430863,0.00143621
115,3147.31,0.96374,0.72807,1.14614,0.8407,0.75688,0.81198,0.61502,1.20672,1.05144,1.3498,0.00409141,0.0013638,0.00409141,0.0013638,0.00409141,0.0013638,0.00409141,0.0013638
116,3174.6,0.94328,0.70952,1.13405,0.79446,0.79543,0.80981,0.61471,1.20375,1.05664,1.34888,0.00387897,0.00129299,0.00387897,0.00129299,0.00387897,0.00129299,0.00387897,0.00129299
117,3201.71,0.93433,0.71067,1.13522,0.79994,0.79724,0.80948,0.61187,1.20545,1.0529,1.35125,0.00367143,0.00122381,0.00367143,0.00122381,0.00367143,0.00122381,0.00367143,0.00122381
118,3228.86,0.9411,0.71024,1.13497,0.82678,0.76672,0.80698,0.61657,1.20729,1.04552,1.35183,0.00346886,0.00115629,0.00346886,0.00115629,0.00346886,0.00115629,0.00346886,0.00115629
119,3256.13,0.93299,0.69197,1.12449,0.84303,0.76768,0.80846,0.61673,1.20735,1.0485,1.35296,0.00327135,0.00109045,0.00327135,0.00109045,0.00327135,0.00109045,0.00327135,0.00109045
120,3283.21,0.93755,0.6987,1.12748,0.85446,0.76905,0.80345,0.61502,1.21279,1.05309,1.35922,0.003079,0.00102633,0.003079,0.00102633,0.003079,0.00102633,0.003079,0.00102633
121,3310.39,0.92464,0.6919,1.12785,0.85908,0.75519,0.80463,0.61605,1.21392,1.0591,1.35912,0.00289188,0.00096396,0.00289188,0.00096396,0.00289188,0.00096396,0.00289188,0.00096396
122,3337.64,0.93333,0.69765,1.13117,0.8046,0.80395,0.81161,0.61642,1.21032,1.05238,1.35647,0.00271008,0.00090336,0.00271008,0.00090336,0.00271008,0.00090336,0.00271008,0.00090336
123,3365.02,0.93747,0.70837,1.12757,0.85796,0.74378,0.8111,0.61983,1.20573,1.04985,1.35253,0.00253368,0.000844558,0.00253368,0.000844558,0.00253368,0.000844558,0.00253368,0.000844558
124,3392.36,0.91268,0.67419,1.11229,0.85958,0.74409,0.81219,0.62094,1.20445,1.05234,1.35112,0.00236275,0.000787582,0.00236275,0.000787582,0.00236275,0.000787582,0.00236275,0.000787582
125,3419.56,0.92412,0.68697,1.12647,0.81533,0.77805,0.81276,0.62075,1.20482,1.06155,1.34914,0.00219737,0.000732456,0.00219737,0.000732456,0.00219737,0.000732456,0.00219737,0.000732456
126,3446.73,0.92565,0.6916,1.12737,0.83902,0.75965,0.81282,0.61834,1.20361,1.06444,1.34868,0.00203761,0.000679203,0.00203761,0.000679203,0.00203761,0.000679203,0.00203761,0.000679203
127,3473.96,0.92547,0.68934,1.127,0.82206,0.7768,0.8111,0.61815,1.20223,1.07228,1.34903,0.00188354,0.000627848,0.00188354,0.000627848,0.00188354,0.000627848,0.00188354,0.000627848
128,3501.1,0.91407,0.68199,1.12347,0.86252,0.74753,0.80977,0.61894,1.20204,1.07301,1.35065,0.00173524,0.000578413,0.00173524,0.000578413,0.00173524,0.000578413,0.00173524,0.000578413
